ensembl	symbol	D15-shGCN2-5BM	D15-shGCN2-5NM	D15-shGCN2-6BM	D15-shGCN2-6NM	D15-shScr-1BM	D15-shScr-1L1	D15-shScr-1R1	D15-shScr-2L1
ENSG00000018280	SLC11A1	7	13	20	19	12	14	28	10
ENSG00000018408	WWTR1	6137	5628	5629	4154	6469	9172	3365	7723
ENSG00000018510	AGPS	832	915	895	777	470	499	596	593
ENSG00000018610	STEEP1	762	776	854	733	580	449	534	541
ENSG00000018625	ATP1A2	9	8	7	6	0	8	7	0
ENSG00000018699	TTC27	598	664	759	603	414	297	387	385
ENSG00000018869	ZNF582	50	40	57	11	25	12	23	24
ENSG00000019102	VSIG2	7	7	3	12	5	5	4	5
ENSG00000019144	PHLDB1	1107	947	1146	745	746	464	507	590
ENSG00000019169	MARCO	0	1	0	0	0	0	0	0
ENSG00000019186	CYP24A1	56	27	19	24	25	145	34	99
ENSG00000019485	PRDM11	182	242	254	175	128	65	71	115
ENSG00000019505	SYT13	1	1	2	2	0	2	1	1
ENSG00000019549	SNAI2	208	84	65	44	159	120	54	68
ENSG00000019582	CD74	2721	2188	1879	1580	1189	1722	547	1889
ENSG00000019991	HGF	8	5	7	7	20	26	8	5
ENSG00000019995	ZRANB1	773	784	848	625	637	494	408	559
ENSG00000020129	NCDN	2405	2299	3028	1857	1285	1158	878	1284
ENSG00000020181	ADGRA2	317	252	205	147	180	253	133	229
ENSG00000020256	ZFP64	534	611	618	448	491	241	328	357
ENSG00000020426	MNAT1	443	552	588	458	411	254	319	401
ENSG00000020577	SAMD4A	361	499	622	400	330	110	333	132
ENSG00000020633	RUNX3	937	896	964	986	1275	593	940	876
ENSG00000020922	MRE11	609	753	647	529	517	465	585	471
ENSG00000021300	PLEKHB1	9	9	4	15	74	139	0	73
ENSG00000021355	SERPINB1	560	818	768	602	603	518	495	697
ENSG00000021461	CYP3A43	0	0	0	0	0	0	0	0
ENSG00000021488	SLC7A9	0	0	0	0	0	0	0	0
ENSG00000021574	SPAST	578	570	564	536	446	427	340	440
ENSG00000021645	NRXN3	49	63	37	37	220	117	87	176
ENSG00000021762	OSBPL5	153	185	202	164	205	175	150	238
ENSG00000021776	AQR	691	835	782	564	401	429	381	409
ENSG00000021826	CPS1	150	292	133	50	143	21	45	32
ENSG00000022267	FHL1	773	1021	1098	1098	468	366	548	429
ENSG00000022277	RTF2	3014	3644	3670	2967	2608	1903	2000	2724
ENSG00000022556	NLRP2	110	146	181	120	0	0	0	0
ENSG00000022567	SLC45A4	206	183	183	168	175	141	108	153
ENSG00000022840	RNF10	1788	2072	2369	1766	1120	869	1075	1124
