protein_ids,symbols,description,log2FoldChange,log2_GiB,log2_DMSO,statistic,p.value,parameter,conf.low,conf.high,method,alternative,padj
H0YD64;E9PS74;Q8NBI5,SLC43A3,Solute carrier family 43 member 3,0.44288943377089396,17.89400968015914,17.451120246388246,6.051511150837223,0.005250969199073096,3.600101490877322,0.2304720707953714,0.6553067967464166,Welch Two Sample t-test,two.sided,0.01697027405004385
O43427;E9PSD3;E9PJW6,FIBP,Acidic fibroblast growth factor intracellular-binding protein,0.0985215535310946,15.225758333524874,15.12723677999378,2.432725640319655,0.05922863187948993,4.995276167911596,-0.005612576322056936,0.2026556833842461,Welch Two Sample t-test,two.sided,0.10214251038412431
E9PSH4;Q9H063;H0YEV4;E9PR76,MAF1,Repressor of RNA polymerase III transcription MAF1 homolog,-0.15700941271201607,12.525319361509226,12.682328774221242,-0.7578805893435404,0.500030039681808,3.228399594194295,-0.7906960699160376,0.47667724449200544,Welch Two Sample t-test,two.sided,0.5763490258685162
E9PSI1;E9PL78;E9PJM1;E9PMQ9;O15321;E9PQI5;E9PQ80;H0YI89;E9PQY7;E9PS99;G3V1B9;E9PNW2;E9PJC4,TM9SF1,Transmembrane 9 superfamily member 1,0.1453897575548062,18.577511365440852,18.432121607886046,4.714145618165724,0.006195157424755004,4.692339434129,0.0645207331323382,0.2262587819772742,Welch Two Sample t-test,two.sided,0.019200594288070475
F2Z2W7;Q8IZ69;H7C100;C9K041,TRMT2A,tRNA (uracil-5-)-methyltransferase homolog A,0.25061327443394177,18.55577914605172,18.305165871617778,8.364358470545499,0.0014970327131201143,3.7358489533885946,0.16505342089589436,0.3361731279719892,Welch Two Sample t-test,two.sided,0.007323171219777873
F2Z2X4;Q9C0E2,XPO4,Exportin-4,-0.026116619439825683,18.050166032341515,18.07628265178134,-0.40380156651004606,0.7050007268908782,4.455096930687409,-0.19868030322382077,0.1464470643441694,Welch Two Sample t-test,two.sided,0.7627132802062563
Q9H8W3;F2Z2Y3;Q5T374,FAM204A,Protein FAM204A,-0.015803052342528545,13.953566982782966,13.969370035125495,-0.15345004365582118,0.8853885011987486,4.048700854910362,-0.3003839037493039,0.2687777990642468,Welch Two Sample t-test,two.sided,0.911961286197014
F2Z2Y6;O95777;C9JIZ0;C9JNV3,LSM8,U6 snRNA-associated Sm-like protein LSm8,0.09210601685028763,17.652468163029035,17.560362146178747,1.6285796463930378,0.1711185679681389,4.476216920014361,-0.058544790969971484,0.24275682467054674,Welch Two Sample t-test,two.sided,0.23729261963849177
F2Z3J9;Q14914;F6XGT7;Q5JVP2,PTGR1,Prostaglandin reductase 1,-0.18707699448542847,15.300136953028828,15.487213947514256,-2.277456049418544,0.10589001945373407,3.0446571996288463,-0.4463367656403275,0.07218277666947064,Welch Two Sample t-test,two.sided,0.16019134029984464
F5GWA4;Q9H3F6;F5GY15;F5GWK6;F5H268;B3KVY5;F5H497,KCTD10,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,0.11137861188140263,16.510625682878224,16.39924707099682,5.526575342175738,0.004143199771885464,4.328108194865352,0.057057983458071594,0.16569924030473368,Welch Two Sample t-test,two.sided,0.01452685603722794
F5GWC3;H0YFT0;H0YFW7;H0YFM3;Q9NS93,TM7SF3,Transmembrane 7 superfamily member 3,0.31370413928787144,13.957953882156376,13.644249742868505,3.626455784291092,0.0463071385773864,2.572295249278599,0.01061115616603502,0.616797122409708,Welch Two Sample t-test,two.sided,0.08457600818466644
